PlenarySessionId,TalkRankInSession,TalkSessionId,SubmissId,TalkStartTime,TalkDuration,TalkEndTime
1.1,1,1.1.1,1000,09:00,00:05,09:05
1.1,2,1.1.2,1001,09:05,00:10,09:15
1.1,3,1.1.3,1003,09:15,00:25,09:40
1.1,4,1.1.4,1027,09:40,00:20,10:00
1.1,5,1.1.5,1010,10:00,00:15,10:15
1.1,6,1.1.6,1029,10:15,00:15,10:30
1.2,1,1.2.1,1011,11:30,00:30,12:00
1.2,2,1.2.2,109,12:00,00:15,12:15
1.2,3,1.2.3,206,12:15,00:15,12:30
1.2,4,1.2.4,148,12:30,00:15,12:45
1.2,5,1.2.5,86,12:45,00:15,13:00
1.3,1,1.3.1,1014,14:30,00:15,14:45
1.3,2,1.3.2,1045,14:45,00:02,14:47
1.3,3,1.3.3,1044,14:47,00:02,14:49
1.3,4,1.3.4,1046,14:49,00:02,14:51
1.3,5,1.3.5,1043,14:51,00:02,14:53
1.3,6,1.3.6,1047,14:53,00:02,14:55
1.3,7,1.3.7,1016,14:55,00:02,14:57
1.3,8,1.3.8,1048,14:57,00:02,14:59
1.3,9,1.3.9,1015,14:59,00:02,15:01
1.3,10,1.3.10,1019,15:01,00:02,15:03
1.3,11,1.3.11,,15:03,00:15,15:18
1.4,1,1.4.1,99,16:30,00:15,16:45
1.4,2,1.4.2,170,16:45,00:15,17:00
1.4,3,1.4.3,23,17:00,00:15,17:15
1.4,4,1.4.4,,17:15,00:45,18:00
2.1,1,2.1.1,1017,09:00,00:30,09:30
2.1,2,2.1.2,1012,09:30,00:15,09:45
2.1,3,2.1.3,1026,09:45,00:15,10:00
2.1,4,2.1.4,1013,10:00,00:15,10:15
2.1,5,2.1.5,1027,10:15,00:15,10:30
2.2,1,2.2.1,1018,11:30,00:15,11:45
2.2,2,2.2.2,63,11:45,00:15,12:00
2.2,3,2.2.3,171,12:00,00:15,12:15
2.2,4,2.2.4,186,12:15,00:15,12:30
2.2,5,2.2.5,112,12:30,00:15,12:45
2.2,6,2.2.6,105,12:45,00:15,13:00
2.3,1,2.3.1,1019,14:30,00:15,14:45
2.3,2,2.3.2,1020,14:45,00:15,15:00
2.3,3,2.3.3,177,15:00,00:15,15:15
2.3,4,2.3.4,124,15:15,00:15,15:30
2.4,1,2.4.1,1021,16:30,00:15,16:45
2.4,2,2.4.2,,16:45,00:15,17:00
2.4,3,2.4.3,139,17:00,00:15,17:15
2.4,6,2.4.6,,17:15,00:45,18:00
3.1,1,3.1.1,1022,09:00,00:30,09:30
3.1,2,3.1.2,,09:30,00:15,09:45
3.1,3,3.1.3,78,09:45,00:15,10:00
3.1,4,3.1.4,180,10:00,00:15,10:15
3.1,5,3.1.5,199,10:15,00:15,10:30
3.2,1,3.2.1,1023,11:30,00:15,11:45
3.2,2,3.2.2,128,11:45,00:15,12:00
3.2,3,3.2.3,62,12:00,00:15,12:15
3.2,4,3.2.4,202,12:15,00:15,12:30
3.2,5,3.2.5,55,12:30,00:15,12:45
3.2,6,3.2.6,,12:45,00:15,13:00
3.3,1,3.3.1,1024,14:30,00:15,14:45
3.3,4,3.3.4,,14:45,00:45,15:30
3.4,1,3.4.1,1025,16:30,00:15,16:45
3.4,2,3.4.2,221,16:45,00:15,17:00
3.4,3,3.4.3,1050,17:00,00:30,17:30
