Day,Island,StantRank,StandId,PosterId
Tue,1.1,01,1.1.01-Tue,101
Tue,1.1,02,1.1.02-Tue,161
Tue,1.1,03,1.1.03-Tue,109
Tue,1.1,04,1.1.04-Tue,125
Tue,1.1,05,1.1.05-Tue,220
Tue,1.1,06,1.1.06-Tue,
Tue,1.1,07,1.1.07-Tue,159
Tue,1.1,08,1.1.08-Tue,17
Tue,1.1,09,1.1.09-Tue,77
Tue,1.1,10,1.1.10-Tue,86
Tue,1.1,11,1.1.11-Tue,157
Tue,1.1,12,1.1.12-Tue,232
Tue,1.2,01,1.2.01-Tue,83
Tue,1.2,02,1.2.02-Tue,107
Tue,1.2,03,1.2.03-Tue,114
Tue,1.2,04,1.2.04-Tue,20
Tue,1.3,01,1.3.01-Tue,21
Tue,1.3,02,1.3.02-Tue,172
Tue,1.3,03,1.3.03-Tue,31
Tue,1.3,04,1.3.04-Tue,122
Tue,1.3,05,1.3.05-Tue,212
Tue,1.3,06,1.3.06-Tue,170
Tue,1.3,07,1.3.07-Tue,117
Tue,1.3,08,1.3.08-Tue,153
Tue,1.3,09,1.3.09-Tue,74
Tue,1.3,10,1.3.10-Tue,111
Tue,1.4,01,1.4.01-Tue,129
Tue,1.4,02,1.4.02-Tue,70
Tue,1.4,03,1.4.03-Tue,168
Tue,1.4,04,1.4.04-Tue,25
Tue,2.1,01,2.1.01-Tue,97
Tue,2.1,02,2.1.02-Tue,26
Tue,2.1,03,2.1.03-Tue,105
Tue,2.1,04,2.1.04-Tue,126
Tue,2.1,05,2.1.05-Tue,178
Tue,2.1,06,2.1.06-Tue,225
Tue,2.1,07,2.1.07-Tue,34
Tue,2.1,08,2.1.08-Tue,95
Tue,2.2,01,2.2.01-Tue,98
Tue,2.2,02,2.2.02-Tue,148
Tue,2.2,03,2.2.03-Tue,151
Tue,2.2,04,2.2.04-Tue,
Tue,2.2,05,2.2.05-Tue,219
Tue,2.2,06,2.2.06-Tue,176
Tue,2.2,07,2.2.07-Tue,186
Tue,2.2,08,2.2.08-Tue,224
Tue,2.3,01,2.3.01-Tue,19
Tue,2.3,02,2.3.02-Tue,87
Tue,2.3,03,2.3.03-Tue,30
