SessionId,Kind,Room,DayLong,DayShort,Start,End,ChairName,ChairOrganization
1.1,Plenary,Gaston Berger,Tuesday 13,Tue 13,09:00,10:30,,
1.2,None,Louis Armand East,Tuesday 13,Tue 13,10:30,11:30,,
1.3,Plenary,Gaston Berger,Tuesday 13,Tue 13,11:30,13:00,,
1.4,Demo,Louis Armand East,Tuesday 13,Tue 13,13:00,14:30,,
1.5,Plenary,Gaston Berger,Tuesday 13,Tue 13,14:30,15:30,,
1.6,Demo,Louis Armand East,Tuesday 13,Tue 13,15:30,16:30,,
1.7,Plenary,Gaston Berger,Tuesday 13,Tue 13,16:30,18:00,,
2.0,Breakfast,Louis Armand East,Wednesday 14,Wed 14,08:00,09:00,,
2.1,Plenary,Gaston Berger,Wednesday 14,Wed 14,09:00,10:30,,
2.2,Demo,Louis Armand East,Wednesday 14,Wed 14,10:30,11:30,,
2.3,Plenary,Gaston Berger,Wednesday 14,Wed 14,11:30,13:00,,
2.4,Demo,Louis Armand East,Wednesday 14,Wed 14,13:00,14:30,,
2.5,Plenary,Gaston Berger,Wednesday 14,Wed 14,14:30,15:30,,
2.6,None,Louis Armand East,Wednesday 14,Wed 14,15:30,16:30,,
2.7,Plenary,Gaston Berger,Wednesday 14,Wed 14,16:30,18:00,,
3.1,Plenary,Gaston Berger,Thursday 15,Thu 15,09:00,10:30,,
3.2,Demo,Louis Armand East,Thursday 15,Thu 15,10:30,11:30,,
3.3,Plenary,Gaston Berger,Thursday 15,Thu 15,11:30,13:00,,
3.4,Demo,Louis Armand East,Thursday 15,Thu 15,13:00,14:30,,
3.5,Plenary,Gaston Berger,Thursday 15,Thu 15,14:30,15:30,,
3.6,None,Louis Armand East,Thursday 15,Thu 15,15:30,16:30,,
3.7,Plenary,Gaston Berger,Thursday 15,Thu 15,16:30,17:30,,
