Session,Id,Day,YouTube,PDF
"09h00 - Welcome to the RISC-V Summit Europe 2026! - Nick Kossifidis, Teresa Cervero, and Andrea Bartolini",YYCRFS,Tuesday,https://youtu.be/ikPP2bYzr8o?si=-ycE9QZVEm9LxUBo,https://drive.google.com/file/d/1yv7sV-lyWV7TU5sQzn580NRMJfjUMbon/view?usp=drive_link
09h15 - RISC-V Innovation at Scale - Andrea Gallo,X9GUED,Tuesday,https://youtu.be/9KbeSe_yDmU?si=P9wARfAxQmNjAEjN,https://drive.google.com/file/d/10b3TRlCmrFPdaoKSAk_EWS5FkvZpwQC2/view?usp=drive_link
09h40 - Tailoring Workloads for Agentic AI Using Advanced Virtual Platforms for RISC-V - Sam Grove,KHW8H3,Tuesday,https://youtu.be/QQRzqEyKDV4?si=fIxZ4K6hUxgPL8Nh,https://drive.google.com/file/d/1V3eWjS93gJBWk79Gm5suLxo-wAQJ7waD/view?usp=sharing
10h00 - Let's shift the mindset - Giordano Mancini,SY39HX,Tuesday,https://youtu.be/rwjKVjI_zJ4?si=kwnzNyDNrh_wPFi9,https://drive.google.com/file/d/135r2Ks29YjTGL7nP6dIVfW1JmFEImrTj/view?usp=drive_link
10h15 - XiangShan Practice: The Path to Industrial Deployment of Open-Source High-Performance RISC-V Processor - YUNGANG BAO,GQYRRB,Tuesday,https://youtu.be/bhgLea6eBb8?si=agcMY6BIL5MvpVOm,https://drive.google.com/file/d/1hxCTQtbJ_uNy9_2VIdMe6j0uCjsRqRav/view?usp=drive_link
11h30 - Linux on RISC-V: Learning from the Mistakes of History - Greg Kroah-Hartman,BQWHMQ,Tuesday,https://youtu.be/sJP51-gG7DI?si=_Tbt03GN6frq0pOS ,https://drive.google.com/file/d/1jOFese2HlWtob0Y0iMqt9eHvOawo_9KH/view?usp=drive_link
12h00 - RVA23 Profile Support in Linux Kernel: From Extension Definitions to Userspace Export - Guodong Xu and Charlie Jenkins,B7EASJ,Tuesday,https://youtu.be/kDV-avIs4kU?si=dY8Dsm02SxPB4M6C ,https://drive.google.com/file/d/1lazzROels3lRuztMEqTn7PZwVst3a2r8/view?usp=drive_link
12h15 - The RISE Project: Advancing the RISC-V Software Ecosystem - Nathan Egge and Ludovic Henry,KMNP8Q,Tuesday,https://youtu.be/9Ye-M12oMrk?si=kCWpEYKeHlKQbOP6,https://drive.google.com/file/d/1l9gEelwSXzOP_tsIJBRKVD020LXZsToc/view?usp=drive_link
12h30 - Building the software ecosystem for a RISC-V datacenter - Jon Taylor,BTUW3M,Tuesday,https://youtu.be/iHqwGwf1YZI?si=7u6h6GyvLnbDl9BL,https://drive.google.com/file/d/1mjpLkY6sCfZWV31jpz4G3nJgUcCyQ0UG/view?usp=drive_link
12h45 - Lightning Round - RVI,PREGXV,Tuesday,https://youtu.be/nNLpEFBkP6w?si=P1o71Ft0Z8lbAiTU,https://drive.google.com/file/d/1YetoEuhRS8Xw3087YlazmleEB3nOYO8M/view?usp=drive_link
13h15 - Nuclei RISC-V Automotive Solutions: ASIL-D Safety & Full-Spectrum IP for Next-Gen Vehicles - Jianying Peng,U8VMUY,Tuesday,https://youtu.be/ZS5W_EEIqd8?si=VvihI9sNjzIhJ7-Z,Demo Theater Talk - Asking for slides
"13h25 - AIA, IOMMU and Other Flash Points: Driving RISC-V Sub-System Verification - Adnan Hamid",MEXBCF,Tuesday,https://youtu.be/Rlcdo7fTvJw?si=soKoxNUfHZJLzYp3,Demo Theater Talk - Asking for slides
13h35 - Accelerating the Future Computing with RISC-V - Li Chenxi ,NUAMY9,Tuesday,https://youtu.be/ObbTDhUc6hY?si=WIh3vRyfue795A3d,Demo Theater Talk - Asking for slides
13h55 - Control your core. Own your future - Troy Jones,C39D8K,Tuesday,https://youtu.be/8WbgiZ31wNQ?si=KpEHFkL8zQfX8NXw,Demo Theater Talk - Asking for slides
14h30 - RISC-V Server Platform 1.0: One Spec to Boot Them All - Radim Krčmář ,SPMRUA,Tuesday,https://youtu.be/DAAok3PCREU?si=719bDi80Kp-CV5cr,https://drive.google.com/file/d/18VJNtK2eEkq9vo-V0ylGYbaYAXdB8vXq/view?usp=drive_link
14h45 - Delivering the Future of Software Enablement for RISC-V - TBD,DBG3FA,Tuesday,https://youtu.be/c5TLgW8S_kE?si=ufvPAGLnUN3Pg-GG,https://drive.google.com/file/d/1h3eOXhyMW-sv2R7eB1qY3GhYA95h2BS_/view?usp=sharing
15h45 - Epic Contrail AIX for RISC-V Developers - Chloe Jian Ma ,AUJXLA,Tuesday,https://youtu.be/HfVoz5dFOTQ?si=3AKTYhEENWiVlvD7,Demo Theater Talk - Asking for slides
16h30 - No Fab Required: Monetizing RISC-V Designs in the Cloud - Jeremy Dahan,YVHUED,Tuesday,https://youtu.be/rfaEZJIiYwc?si=YHHhhwycUk97i_EG,https://drive.google.com/file/d/1wll_dozENl0D0sSkT1cyqGXh0zmsKqX1/view?usp=drive_link
16h45 - Beyond Privilege: The RISC‑V Isolation Toolbox from Microcontrollers to Confidential Computing - Andrew dellow,USADYC,Tuesday,https://youtu.be/wG9B5agcSmM?si=Lh9PyBcq2Da4kr7S,https://drive.google.com/file/d/1pXN6y8dz4lowTdO1MDBnN_OxeXGGxUdm/view?usp=drive_link
17h00 - Why the industry needs CHERI to be able to meet the EU Cyber Resilience Act - Tariq Kurd,PC8KYU,Tuesday,https://youtu.be/WWxXwEEI0cc?si=tYJO0abAzWDUmJbK,https://drive.google.com/file/d/1OBrV-fdhub4oxQBChoKGJLlNAqUClDWu/view?usp=drive_link
17h15 - Practical Implications of SPMP-Based Virtualization in RISC-V - Manuel Rodríguez,XFYMDU,Tuesday,https://youtu.be/kwbHQrBVfYw?si=gb4YG9bSKKd0CdVO,https://drive.google.com/file/d/1YEAT7y5EA0MhMiApG8qhulH2evf4TLHj/view?usp=drive_link
17h30 - Enabling Confidential Computing on RISC-V: An Open-Source MPT Implementation - Haoyuan Liu,EXN7PD,Tuesday,https://youtu.be/ithLOLR_Bu0?si=vYbezcXzBdz45_dL,https://drive.google.com/file/d/1wK2qP7qJhAZByx8LEeDctCnF2J7wMGRu/view?usp=drive_link
"17h45 - Heuristic-free system call interception on RISC-V - Ottavio Monticelli, Iacopo Colonnelli, and Marco Edoardo Santimaria",3EZXZV,Tuesday,https://youtu.be/QIo8T_I43IQ?si=EUn7AFMYS3UmqVKo,https://drive.google.com/file/d/1URs-Y4JWQ48WIe66lJgZCzmQPoNDKm9_/view?usp=drive_link
09h00 - RISC-V State of the Union - Krste Asanović,N9KRDZ,Wednesday,https://youtu.be/J4O_EiJYPdM?si=ym4VYqOXczGIKVib,https://drive.google.com/file/d/11CoDjQq_c181Zf-1Yk9DnQNMxGvyhhTq/view?usp=drive_link
09h30 - Nuclei: Full-Spectrum RISC-V IP & Automated SoC Design from Months to Hours - Bob Hu,FYEFSR,Wednesday,https://youtu.be/27I03rUdzkE?si=SqJQOCi97-oL0vx2,https://drive.google.com/file/d/1bFFV2gzbFMcdhIylW7nYy17aTd4RX844/view?usp=drive_link
09h45 - ARBEL™ The Leading Server-Class RISC-V CPU - Yiftach Gilad,CHMWCN,Wednesday,https://youtu.be/fVoZD_ekz9g?si=RtPmdnbG-9y5jUQa,https://drive.google.com/file/d/1tFGFGkYJzOxF21pY65_Ii7ZtzRDs37-E/view?usp=drive_link
10h00 - RISC-V: Enabling Open Physical AI - Luca Benini ,C9CTGS,Wednesday,https://youtu.be/PFWk1S4S4BY?si=vBMM7YvCfsytGjYG,https://drive.google.com/file/d/1xnHIydTz_ceU209-m8ytwTj2I-RQFfYS/view?usp=drive_link
10h35 - Utilizing the RISC V Architecture to Accelerate Real Time Motor Control Applications - Sean Murphy,RXLUGR,Wednesday,https://youtu.be/d9KnHo_L4ls?si=3tB-p1Gk06ZOFmD7,Demo Theater Talk - Asking for slides
10h45 - VASCO: ASIC Test Platform for Hardware Security on FD-SOI - Stefano Di Matteo,TEUJU8,Wednesday,https://youtu.be/f26gqGWbxA8?si=IsR1_9xcn1UXuavZ,Demo Theater Talk - Asking for slides
10h55 - DiffTest-H: FPGA-Accelerated RISC-V Co-simulation Verification Beyond 10 MHz - XU AN and Yinan Xu,QUEMGA,Wednesday,https://youtu.be/ldKtek2oLwY?si=se479jU4ZJkFcHM-,Demo Theater Talk - Asking for slides
11h30 - From Eyewear to Silicon: RISC-V for Low-Power AI in Next-Generation Smart Glasses - Marco Fariselli,WLDTDU,Wednesday,https://youtu.be/VPElsq5lBzk?si=6ZT1eqV6dbckFNyC,https://drive.google.com/file/d/1pSL-Mj2lNw_0hqADQJnlS1dOpnlceOad/view?usp=drive_link
"12h00 - RVEdge-Vision: A Fully Open, Ultra-Efficient On-Device AI Platform for Smart Eyewear - Michele Magno",UCYLJC,Wednesday,https://youtu.be/vBkNV5sIe1c?si=jRBrPz8KrhXv_9XZ,https://drive.google.com/file/d/1Oy4v3yOTKkKPbOeYoYu7XcWOUMHAfyUf/view?usp=drive_link
12h15 - RIVIERA: A Programmable RISC V Edge Architecture for NFC Signal Processing - Luca Lingardo,HC7JS8,Wednesday,https://youtu.be/7f4p30d4vN8?si=9kTuyBIc9Y36EeIh,https://drive.google.com/file/d/1ThSx6zB1HpmXS9ToTE9ssdre6HlZhUv0/view?usp=drive_link
12h30 - Accelerating RISC-V Innovation with open MPACT Tools from Google - Tor Jeremiassen and Yenkai Wang,JKTENR,Wednesday,https://youtu.be/_jJNl6-G2j0?si=dfMd6R3hwBGflKXv,https://drive.google.com/file/d/1ehMqxftXveIJALnwFZafM1PHcp2FeOcc/view?usp=drive_link
12h45 - SVM: A Synthesizable Approach to Efficient RISC-V CPU Verification - Yinan Xu,QVKCU9,Wednesday,https://youtu.be/bQStqo2fpIg?si=uMU1MAzad2J4jSHZ,https://drive.google.com/file/d/10dEOtf2k9cdlipoAIoe6Mj9sjKQMlXJ5/view?usp=drive_link
"13h15 - “PRG32: Teaching RISC-V Through Playable Game Cartridges"" - Raffele Montella",ETKP89,Wednesday,https://youtu.be/ZGDmAXRRR_s?si=VU-FhZbothFfEtnP,Demo Theater Talk - Asking for slides
13h25 - High performance RISC-V Image Processing Chip EAI8800 - Changqing Li ,MUMV3G,Wednesday,https://youtu.be/nC1cb_A1EZo?si=SjaTnt3-XV8pt0bv,Demo Theater Talk - Asking for slides
14h30 - Matrix Extensions for RISC-V: Delivering on the Promise - Dr. Philipp Tomsich,BLF3DX,Wednesday,https://youtu.be/d_3QhvKMyAk?si=dWiVZuZyACDf0GFv,https://drive.google.com/file/d/1nFnj0DW8XJ-UGz7zumuTfYru92hLu68q/view?usp=drive_link
14h45 - Realising the Future of European Computing from Research to Industry - TBD,S7F8CK,Wednesday,https://youtu.be/lmSn6F7Y8Z0?si=QiixIjSQJ1AWZADM,https://drive.google.com/file/d/10bQYsiBcKdtKOLsfrvJhQr8FDwwMXVkG/view?usp=drive_link
16h30 - Transforming MCUs in an AI-Defined Era - Edward Wilford,GLNQVZ,Wednesday,https://youtu.be/Ky_FGILVWCI?si=cgmMuTYenPY1KHf3,https://drive.google.com/file/d/1wPJdoewLicGUboA_zBgcHrhzUVUEIWpC/view?usp=drive_link
16h45 - Ultra Low Power RISC-V core: Retention with Warm Restart Extension - Anne Merlande,G7YSXG,Wednesday,https://youtu.be/iyY8T7ev6Ms?si=m3HadGcnQAYzNPVZ,https://drive.google.com/file/d/1-9UQWLoJfDM_isBDIY2Xp8-l34TmEhPZ/view?usp=drive_link
17h00 - RISC-V Custom Instructions for Automotive Control and DSP Algorithms Compliant with ISO 26262 - Andreas Mauderer and Zdenek Prikryl,8LUM7U,Wednesday,https://youtu.be/27I03rUdzkE?si=SqJQOCi97-oL0vx2,https://drive.google.com/file/d/1lysNhxuUxMwdpH75QOcIFGGBIrPaf7nQ/view?usp=drive_link
17h15 - Proposal of State Sensitive Counter (Sssscnt) - Fengxue Zhang and Bohua Kou,WWT8EV,Wednesday,https://youtu.be/Ay8VMMUqZOM?si=ZURCG81KQzuBdXKM,https://drive.google.com/file/d/1grJQ9YkWIz15rpMtklfBuRcuddPI4PT7/view?usp=drive_link
17h30 - Enabling High-Performance Storage for RISC-V: Porting the Lustre Parallel File System - Dave Cremins,RRD8XA,Wednesday,https://youtu.be/27pH68ZIW8E?si=Z2vSO_hmeqkmrkp0,https://drive.google.com/file/d/1QbI-7EVf3UK9wM2rFdfmHR4RkulogbRN/view?usp=drive_link
"17h45 - An Open-Source CVA6S+ based High-Performance, Cache-Coherent Cluster for 64b Automotive MPUs - Riccardo Tedeschi",R7MK7D,Wednesday,https://youtu.be/DfztgmoVQG0?si=c8AS4UKh8V06fDUt,https://drive.google.com/file/d/19cA0ERczfU0oURpjZyhPKrm9Nm96HWbD/view?usp=drive_link
09h00 - Developing an Open Agentic SoC - Tanya Dadasheva,EEJ8QY,Thursday,https://youtu.be/chB0BeQlHY0?si=C8hhytGvm-upWURe,https://drive.google.com/file/d/1oWVERxG4TlHVhGBUmxer-Qwp-3KMuLra/view?usp=drive_link
09h30 - RISC-V for the Planet: Open-Source Microprocessors in the Internet of Trees - Marcelo Zuffo,99DRJM,Thursday,https://youtu.be/VsA_stm_6cM?si=t1Xx_Zh8cf2t6s7-,https://drive.google.com/file/d/1EEYe_JdTXnVYyHAaS3MjToVvclNhMZn7/view?usp=drive_link
10h00 - World's first lunar exploration rover using FPGA-based RISC-V processor - Tetsuo YOSHIMITSU,MCBEUE,Thursday,https://youtu.be/WXWRPY5H-EQ?si=djXIU8tX7a-ho4FM,https://drive.google.com/file/d/1vulI-ElhrTPFWFCmcE6cHtZVzVnHg_df/view?usp=drive_link
10h15 - A User-Friendly and AI-Ready Desktop for RISC-V: Bianbu LXQt - Xiaogang Fan,WHFNV3,Thursday,https://youtu.be/F0hTecsTevQ?si=DL9DxafOgNz__r00,https://drive.google.com/file/d/1VKyFJDO_XInjmVYMV3uWSY-A2tJpfJOw/view?usp=drive_link
11h30 - Albania is an AI-Factory - Kushtrim Shala,V7W33B,Thursday,https://youtu.be/xyuelA9jcAE?si=WD0a4RiUQdotXo_E,https://drive.google.com/file/d/1f8C3RkgIvuNqMlPAxrQhOWIip8DNM3mU/view?usp=drive_link
"12h00 - All The Scaling, No New State: One Matrix ISA with Microarchitectural Freedom - Dr. Philipp Tomsich and Dr. Erich Focht",ETWPMQ,Thursday,https://youtu.be/yzRYPkp5lEk?si=FfJeOVbeD35ndrdi,https://drive.google.com/file/d/1VLlynvfKqDKpQWDYSIH4WJ70sNgBqShE/view?usp=drive_link
12h15 - ARCANE: Enabling High-Performance In-Cache Tensor Extensions in RISC-V - Flavia Guella and Vincenzo Petrolo,G7Y79Q,Thursday,https://youtu.be/vIekth9RvnU?si=xY4c_nMh_EX_F03D,https://drive.google.com/file/d/1lnCmmIWLNhxXVQ3Pjhooyp-c4J_QzCLl/view?usp=drive_link
12h30 - Evaluating Tenstorrent RISC-V Accelerators for High Performance Scientific Computing - Elisabetta Boella,HNQPKX,Thursday,https://youtu.be/J_cESf0k1Jc?si=NJW28YnmKadxHC5l,https://drive.google.com/file/d/1HfUbz7KtPsOyD6wVcZniltif77bwvqvs/view?usp=drive_link
12h45 - CHAKRA-GP: A Retargetable Compiler Framework for RISC-V GPGPU Architecture - Prachi Pandey and PRANOSE J EDAVOOR,FRDLL7,Thursday,https://youtu.be/hURiHE_0fL4?si=AOrycobD2W2bKQ4I,https://drive.google.com/file/d/1y757qeBBNKe6Qgx2-o_Zspa5hk1SlWsg/view?usp=drive_link
14h30 - RISC‑V at Scale: From Embedded Dominance to Application Processor Opportunities - John Holland,MZ9RFR,Thursday,https://youtu.be/ztTDP1rxSL0?si=blPs4RqnPFK7CKUi,https://drive.google.com/file/d/1-EDSeVLEfqoP3EEkgcAXqmZr4_1Jr3Sn/view?usp=drive_link
"14h45 - It's a RISC-V World: Innovation, Collaboration, Competition, and Deployment on a Global Stage - TBD",TNUMV7,Thursday,https://youtu.be/1poGjjRZz-k?si=dyKkYqnqPDIirLqm,https://drive.google.com/file/d/1GTA5AnxY64MN-lPVYi5to20RLUt_cfTt/view?usp=drive_link
16h30 - A Proof-of-Concept RISC-V with 128-bit Extension - Frédéric Pétrot,MUFY8Z,Thursday,https://youtu.be/J_cESf0k1Jc?si=NJW28YnmKadxHC5l,https://drive.google.com/file/d/1SgmrC8M-lHDmJHnZE1aoqgcF9yKCedXz/view?usp=drive_link
16h45 - Accelerating Sparse Linear Solvers in OpenFOAM using RISC-V Vector Extensions - Gabriele Ceccolini,D3TVFS,Thursday,https://youtu.be/FDxZaLyHKVM?si=outjztUH-wNooK_Z,https://drive.google.com/file/d/1-Mocl5ZWQIa4KskwnM7SNdKqlB867y77/view?usp=drive_link
"17h00 - Optimizing Llama.cpp and GGML for RISC-V Vector (RVV) - Taimur Ahmad, Adeel Ahmad, Ahsan Jalil, and Ahsan Jalil",TX9SGW,Thursday,https://youtu.be/6RvU5BbWlTc?si=JP9UJlcL1fcXbWRi,https://drive.google.com/file/d/1s7KyFQ_rTRAEVjrYizCLtNIHGOinF4kh/view?usp=drive_link
"17h15 - wueHans: A Full-Stack Open-Source RISC-V Gaming Console and SoC Architecture - Jonathan Hager, Timo Grundheber, Matthias Jung, and Yannik Stamm",NHUVSR,Thursday,https://youtu.be/paJKufgieY0?si=ew8NNRC9D5h4tdSq,https://drive.google.com/file/d/1ICo5fvoQ_qCcegZCeGXTp3UA47eGq8p1/view?usp=drive_link
"17h30 - Farewell and closing remarks - Nick Kossifidis, Teresa Cervero, and Andrea Bartolini",JJJHHY,Thursday,https://youtu.be/o3T1sIS237o?si=sLJ4McTdSmN52p5O,https://drive.google.com/file/d/1G09S7lg6lhFv5Nsll_Bvt7XJGR0j3tTL/view?usp=drive_link
