Submission ID,,,Title,Main Contact Firstname,Main Contact Lastname,Main Contact Affiliation,Keywords,Acceptance Status,Constraints,Present,Day,Stand,Island,Poster
1,1,"Methods, tools",Emulating Ox64 BL808 64-bit SBC in WebAssembly: Experiments with TinyEMU and Apache NuttX RTOS,Lup Yuen,Lee,IoT Techie and Educator,"Operating system and software ecosystem;	Embedded systems, IoT, edge computing",Accept as poster (industry),,1,Wednesday 26th,D-11,D,11
2,2,Other,"MachineWare GmbH - Virtual Hardware, Real Benefits",Lukas,Juenger,MachineWare GmbH,"Automotive;	Hardware/software co-design;	Embedded systems, IoT, edge computing;	Open EDA tools;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster (industry),,1,Tuesday 25th,B-11,B,11
3,3,Application,Deploying Neural Networks on RISC-V with VPU,Marius,Monton,Universitat Autonoma de Barcelona,"Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	RISC-V ISA extensions",Accept as poster,,1,Thursday 27th,B-01,B,01
4,4,Application,Lessons from porting SW to riscv64,Ludovic,Henry,Rivos,Operating system and software ecosystem;	RISC-V ISA extensions;	Compilation and code optimization;	,Accept as poster,,1,Wednesday 26th,D-04,D,04
5,5,Security,XuanTie Virtualzone Technology Undergoes Commerial Inspection,Cui,Xiaoxia,Alibaba,"Operating system and software ecosystem;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety",Accept as poster,,1,Tuesday 25th,B-01,B,01
7,7,"Core, IP",RISC-V BASED AIOT COMPUTING PAVES THE WAY FOR ANOTHER RICH OS ARCHITECTURE RESET,Laurent,JABIOL,,"Hardware/software co-design;	Operating system and software ecosystem;	Embedded systems, IoT, edge computing",Reject (industry),,,,,,
8,8,Verification,An Interchangeable UVM Environment for Verifying Multiple Systolic Arrays,Junaid,Ahmed,Barcelona Supercomputing Center,Verification;	,Accept as poster,,1,Wednesday 26th,A-01,A,01
9,9,Verification,Enhancing Privileged Architecture Support in RISC-V ISAC,Umer,Shahid,UET Lahore,RISC-V ISA extensions;	Open EDA tools;	Verification,Accept as poster,,1,Wednesday 26th,B-03,B,03
10,10,Security,SecureBOOM: Mitigating Spectre in an Out-of-Order RISC-V Core with a Formally Backed Design Flow,Tobias,Jauch,RPTU Kaiserslautern-Landau,Verification;	Security and functional safety;	Open-source hardware and open silicon,Accept as poster,,1,Tuesday 25th,B-02,B,02
11,11,"Core, IP",RISC-V: The CPU of choice for Graphics Processing Units (GPUs),Andrew,Johnston,Imagination Technologies,"Automotive;	High-performance computing;	Security and functional safety;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	",Accept as poster (industry),,1,Thursday 27th,A-09,A,09
12,12,Other,Driving Innovation: TASKING's Role in Accelerating RISC-V Adoption in Automotive Electronics,Gerard,Vink,,Operating system and software ecosystem;	Security and functional safety;	Compilation and code optimization;	Hardware/software co-design;	Automotive,Declined,,,,,,
13,13,Security,"TrustSoC-V: An Heterogeneous SoC Architecture for RISC-V, Secure-by-Design",Raphaele,Milan,LaboratoryHubertCurien,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	Open-source hardware and open silicon;	Security and functional safety",Accept as poster,,1,Tuesday 25th,B-03,B,03
14,14,Education,Impact of the four French RISC-V Contests on Education and Research,Jerome,Quevremont,Thales Research & Technology,Open-source hardware and open silicon;	RISC-V related educational activities,Accept as poster,,1,Tuesday 25th,D-10,D,10
15,15,"Core, IP",Open-source RISC-V Input/Output Physical Memory Protection (IOPMP) IP,Luis,Cunha,University of Minho,Security and functional safety;	Open-source hardware and open silicon;	,Accept as presentation,,1,Thursday 27th,D-03,D,03
16,16,Safety,RISC-V in the Fast Lane: Meeting ISO Standards in Automotive Software Tools,Gerard,Vink,,Security and functional safety;	Compilation and code optimization;	Automotive;	,Reject,,,,,,
17,17,"Methods, tools",A Methodology for Automating the Integration of User-Defined Instructions into RISC-V Systems based on the CV-X-IF Interface,Sofia,Maragkou,"Institute of Computer Technology, Vienna University of Technology","Any other topic related to RISC-V and open hardware;	Open-source hardware and open silicon;	Open EDA tools;	RISC-V ISA extensions;	High-performance computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster,TRISTAN,1,Wednesday 26th,B-12,B,12
18,18,Software,RISE Technical Steering Committee Update,Jeffrey,Osier-Mixon,Red Hat,Operating system and software ecosystem,Accept as poster (industry),,1,Wednesday 26th,D-08,D,08
20,20,"Core, IP",Three RISC-V SoCs in Three Years,Saman,Payvar,Tampere University,"Open-source hardware and open silicon;	Systems-on-Chip, including processor cores, accelerators, peripherals;	High-performance computing;	RISC-V related educational activities",Accept as poster,,1,Thursday 27th,C-01,C,01
21,21,Software,GCC 14 RISC-V Vectorization Improvements and Future Work,Robin,Dapp,Ventana Micro,Compilation and code optimization;	,Accept as presentation,,1,Thursday 27th,A-01,A,01
22,22,"Methods, tools",SPIKE as a Reference Model in RTL Simulation Verification Environments,Mike,Thompson,OpenHW Group,Open-source hardware and open silicon;	Verification;	Open EDA tools,Accept as poster (industry),,1,Wednesday 26th,B-04,B,04
23,23,Security,Increasing the Adoption of RISC-V by Giving Compliance Monitoring and Enforcement Priority.,Elisha,Chitsenga,Software Developer,RISC-V related educational activities;	Security and functional safety;	Any other topic related to RISC-V and open hardware;	Verification;	,Reject,,,,,,
24,24,Education,"""One Student One Chip"" Initiative: Learn to Build RISC-V Chips from Scratch with MOOC",Zihao,Yu,"ICT, CAS",RISC-V related educational activities,Accept as poster,,1,Tuesday 25th,D-11,D,11
25,25,Software,Leveraging Container Technology for Streamlined RISC-V ACT (Architecture Compatibility Testing),James,Shi,Alibaba Inc,Verification;	Operating system and software ecosystem;	RISC-V ISA extensions;	,Accept as poster,,1,Wednesday 26th,D-07,D,07
26,26,Verification,Cross-Level Verification of Hardware Peripherals,Sallar,Ahmadi-Pour,University of Bremen,"Embedded systems, IoT, edge computing;	Hardware/software co-design;	Verification;	",Accept as poster,,1,Wednesday 26th,A-02,A,02
27,27,Security,Fast CHERI-RISC-V Compartmentalization,Franz,Fuchs,University of Cambridge,RISC-V ISA extensions;	Security and functional safety;	Hardware/software co-design,Accept as poster,,1,Tuesday 25th,B-04,B,04
28,28,Software,RISC-V Hypervisor extension formalization in Sail,Lowie,Deferme,"DistriNet, KU Leuven",RISC-V ISA extensions;	Verification;	Operating system and software ecosystem,Accept as presentation,,1,Wednesday 26th,D-10,D,10
29,29,Application,RISC-V Instruction Set Architecture extension for Spiking Neural Network acceleration for gesture recognition using mm-Wave Radar,Prathamesh Satish,Deshpande,Infineon Technologies AG,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	RISC-V ISA extensions;	",Reject,,,,,,
30,30,Security,Into the Memory-Verse: A Multicolored Approach for C/C++ Memory Safety in RISC-V,Konrad,Hohentanner,Fraunhofer AISEC,Security and functional safety;	Hardware/software co-design;	RISC-V ISA extensions;	Compilation and code optimization,Accept as poster,,1,Tuesday 25th,B-05,B,05
31,31,Verification,A Novel verification tool to verify the RVWMO memory model using UVM and Python Blend,RAVITEJA,TELUGUNTA,Imagination Technologies,,Accept as poster,,1,Wednesday 26th,A-03,A,03
32,32,"Core, IP",Exploring Accelerator Integration with Core-V eXtention InterFace (CV-X-IF) for Kyber,Alessandra,Dolmeta,Politecnico di Torino,"Security and functional safety;	Embedded systems, IoT, edge computing;	Hardware/software co-design;	RISC-V ISA extensions;	",Accept as poster,,1,Thursday 27th,A-10,A,10
33,33,"Core, IP","SERV, QERV and HERV: Meet the world's smallest RISC-V cores",Olof,Kindgren,Qamcom,"Open-source hardware and open silicon;	Embedded systems, IoT, edge computing;	Open EDA tools;	Hardware/software co-design;	",Accept as poster,,1,Thursday 27th,C-02,C,02
34,34,"Core, IP",Commercializing CHERI on a Codasip A730 RISC-V application core,Andres,Amaya Garcia,Codasip,"Systems-on-Chip, including processor cores, accelerators, peripherals;	RISC-V ISA extensions;	Security and functional safety;	Automotive;	Hardware/software co-design",Accept as poster (industry),,1,Thursday 27th,C-03,C,03
35,35,"Core, IP",Real Time additions to the CVA6 Core,Nicolas,Tribie,Bosch FR,,Accept as presentation (industry),,1,Wednesday 26th,B-05,B,05
36,36,"Core, IP",Accelerating and securing compute-intensive applications using RISC-V extensibility,Andy,Frame,VyperCore,"Security and functional safety;	Compilation and code optimization;	Systems-on-Chip, including processor cores, accelerators, peripherals;	High-performance computing;	Cloud computing",Accept as poster (industry),,1,Thursday 27th,D-05,D,05
37,37,"Core, IP",Optimizing Neural Network Classification On Resource Constrained Processors through Customization,Keith,Graham,Codasip,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Hardware/software co-design;	Embedded systems, IoT, edge computing",Accept as poster,,1,Thursday 27th,B-07,B,07
38,38,Verification,A RISC-V SOC Platform for Automotive and IoT Applications,Sergio,Marchese,SmartDV Technologies,"Verification;	Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Automotive;	",Reject (industry),,,,,,
39,39,"Methods, tools",A Design-Centric Open-Source Dataset for Enhanced EDA Applications in Machine Learning,Yifei,Zhu,Student of TsingHua University,"Open-source hardware and open silicon;	Operating system and software ecosystem;	Cloud computing;	Any other topic related to RISC-V and open hardware;	Verification;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Compilation and code optimization;	RISC-V related educational activities;	Embedded systems, IoT, edge computing;	Open EDA tools;	Hardware/software co-design;	High-performance computing;	",Accept as poster,,1,Wednesday 26th,D-12,D,12
40,40,"Methods, tools",Design Open-source RISC-V Chip with Open-source EDA tools and lPs,Hao,Wang,"Institute of Computing Technology, Chinese Academy of Sciences",Open-source hardware and open silicon;	Open EDA tools;	,Reject,,,,,,
