"Submission ID","Title","Main Contact Firstname","Main Contact Lastname","Main Contact Affiliation","Acceptance Status",
"3","Agile Formal Verification with Symbolic Quick Error Detection by Semantically Equivalent Program Execution","Yufeng","Li","Institute of Computing Technology, Chinese Academy of Sciences","Accept as poster",
"4","building open edge computing with open RISC-V","Tiejun","Chen","RISC-V International","Reject",
"5","Pulp-Lite: A More Light-weighted Multicore Framework for IoT Applications","Yang","Yong","Nanjing Qinheng Microelectronics Co., Ltd.","Reject",
"6","Learning by Puzzling: A Modular Approach to RISC-V Processor Design Education","Tobias","Scheipel","Graz University of Technology","Accept as poster",
"7","CVA6 RISC-V PMP Vulnerabilities against FIA","Kevin","QUENEHERVE","Université Bretagne Sud - Lab-STICC (UMR 6285)","Accept as poster",
"8","SAIL-RISCV Memory Model Refactor","Mingzhu","Yan","Programming Language and Compiler Technology Lab, Institute of Software, Chinese Academy of Sciences (ISCAS)","Reject",
"9","Engaging the Next Generation: ISCAS's RISC-V Education Through Short Videos","Fuyuan","Zhang","Programming Language and Compiler Technology Lab, Institute of Software, Chinese Academy of Sciences (ISCAS)","Reject",
"10","Unlocking the Future of RISC-V AI-Powered Laptops","Marta","Han","DeepComputing","Reject",
"11","RISC-V Board and OS Support Matrix: A Comprehensive Resource for RISC-V Developers","Jingkun","Zheng","Programming Language and Compiler Technology Lab, Institute of Software, Chinese Academy of Sciences (ISCAS)","Reject",
"12","RuyiSDK - A Integrated and Customizable Toolkit for RISC-V Software Development","Weilin","Cai","PLCT","Accept as poster",
"13","Design of JESD204C scrambler verification using RISC-V processor","Veena","Chakravarthi","Leadsoc technologies private limited","Reject",
"14","On a Static Analysis Methodology for Confidentiality and Security Signoff of RISC-V Crypto Core","Varun","Sharma","Real Intent Inc.","Accept as poster",
"15","RISC-V CoVE implementation in priviliged firmware","Cui","Xiaoxia","Alibaba","Accept as poster",
"16","Safe Speculation for CHERI","Franz","Fuchs","University of Cambridge","Accept as poster",
"17","Accelerating Quanized LLM Inference for Embedded RISC-V CPUs with Vector Extension (RVV)","Yueh-Feng","Lee","Andes Technology","Accept as poster",
"18","Enabling Syscall Interception on RISC-V.","Ramon","Nou Castell","Barcelona Supercomputing Center","Accept as poster",
"19","FGMT-RiscV: A fine grained multi threading processor for FPGA systems","Bernhard","Lang","Hochschule Osnabrück, University of Applied Sciences","Accept as poster",
"20","High Performance RISC-V Processor for Application in Harsh Environments","Malte","Hawich","Leibniz Universitaet Hannover, Institute of Microelectronic Systems","Accept as poster",
"21","Programming and Modeling RISC-V on RISC-V architecture with ChatGPT assistance","Przemyslaw","Bakowski","Nantes University","Accept as poster",
"22","An Efficient Approach for End-to-End Formal Verification of RISC-V CPUs","Laurent","Arditi","Codasip","Accept as poster",
"23","Flex-RV: World's First Non-silicon RISC-V Microprocessor","Emre","Ozer","Pragmatic","Accept as presentation",
"24","Enabling RISC-V CI in Open-Source Projects: Challenges and Solutions","Marek","Pikula","Samsung R&D Institute Poland","Accept as poster",
